15
9 4
8 5 1
1 6 4
8 2 10
8 3 1
5 4
2 4 1
4 5 8
1 3 4
4 2 5
4 4
1 3 3
1 3 5
1 4 7
3 2 5
3 5
3 2 9
1 2 3
2 1 10
3 2 2
1 2 5
8 7
8 3 8
2 7 10
2 1 10
3 7 9
7 2 5
7 5 1
1 3 4
8 40
6 2 50
8 2 12
4 8 38
4 7 39
3 2 4
7 5 24
2 3 20
8 1 45
7 8 8
5 3 31
4 7 30
3 6 34
1 2 49
6 5 16
5 2 10
2 8 18
5 3 27
5 2 20
3 7 20
5 7 5
4 5 24
3 5 14
6 1 34
4 5 5
8 2 38
6 4 29
2 1 41
3 4 44
7 6 39
6 1 29
7 4 30
1 4 6
4 2 29
4 2 19
3 7 41
8 1 41
6 8 41
5 8 49
6 8 1
6 4 17
7 6
2 4 6
6 3 49
6 1 31
1 7 10
3 4 29
7 2 15
18 18
7 12 3
10 13 1
16 13 20
14 4 36
4 11 37
18 10 37
13 7 27
4 11 38
14 6 23
4 12 27
6 7 47
4 18 30
16 12 12
13 5 13
1 9 21
11 5 41
14 2 43
16 18 20
75 814
41 1 64
54 58 297
49 64 477
26 18 274
15 9 548
64 15 52
6 72 423
53 59 85
43 25 71
55 42 377
50 60 435
54 8 514
47 19 30
3 29 181
22 37 204
72 55 91
36 54 94
11 5 107
39 25 67
23 61 320
45 47 19
13 10 464
19 7 386
59 12 261
3 74 327
34 23 400
72 48 291
61 28 417
25 26 257
7 36 155
6 21 39
33 74 113
54 20 85
3 36 418
73 48 294
45 24 410
10 64 280
16 2 49
69 64 368
44 25 95
38 4 317
56 18 360
14 39 354
3 31 440
74 38 72
14 58 140
28 8 524
15 35 528
20 19 52
9 22 69
23 71 274
58 40 269
13 1 343
3 50 191
21 26 179
1 32 29
68 21 57
29 45 351
6 12 545
38 48 322
35 55 474
56 19 80
25 24 160
72 16 171
68 37 321
13 10 293
35 53 404
39 30 192
8 10 414
52 48 327
61 69 443
50 75 307
45 36 515
58 68 44
25 27 20
67 55 275
10 59 79
22 21 144
69 58 337
62 29 540
35 19 321
33 39 381
23 52 489
24 3 549
18 4 245
52 6 196
62 33 8
29 17 464
17 33 367
26 39 538
3 31 66
1 24 89
4 32 486
32 65 327
31 47 322
21 16 134
25 61 3
18 72 386
38 1 63
45 48 525
28 2 196
63 7 540
13 67 488
52 68 147
17 7 424
58 10 211
44 71 495
50 9 488
55 31 436
7 19 383
24 35 130
11 22 137
3 62 406
57 75 355
52 51 416
65 44 160
60 23 278
39 38 373
50 8 224
59 35 260
74 58 383
46 9 207
34 63 251
53 70 95
15 65 133
65 60 165
58 35 363
38 26 69
45 24 344
69 19 452
51 55 489
23 54 329
18 57 310
36 40 340
66 18 399
54 10 224
5 8 356
42 34 82
9 28 403
33 69 188
51 56 203
13 6 235
38 13 362
70 58 347
73 65 154
42 3 290
43 54 463
40 72 83
70 60 276
25 73 404
16 47 468
39 53 67
18 12 190
24 2 127
11 22 69
75 5 143
15 57 57
30 26 431
48 1 496
63 47 384
24 22 302
32 20 226
64 35 258
73 45 310
10 9 205
46 21 431
29 2 462
72 19 40
61 62 428
34 28 237
41 50 136
1 23 204
58 4 31
17 63 326
38 4 144
72 20 301
17 54 320
45 58 367
18 2 352
32 68 186
62 61 341
7 52 521
41 34 98
7 15 352
26 19 289
46 17 512
73 14 300
70 16 463
19 38 155
23 44 146
57 32 479
39 46 389
58 39 38
